习近平对防汛救灾工作作出重要指示 要求全力做好洪涝地质灾害防御和应急抢险救援坚持人民至上生命至上 切实把确保人民生命安全放在第一位落到实处,2020/6/29 7:39,来源：新华社,　　⊙新华社北京6月28日电　　中共中央总书记、国家主席、中央军委主席习近平对防汛救灾工作作出重要指示。　　习近平指出，6月以来，我国江南、华南、西南暴雨明显增多，多地发生洪涝地质灾害，各地区各有关部门坚决贯彻党中央决策部署，全力做好洪涝地质灾害防御和应急抢险救援等工作，防灾救灾取得积极成效。　　习近平强调，当前，我国多地进入主汛期，一些地区汛情严峻，近期即将进入台风多发季节。国家防总等部门要加强统筹协调，指导相关地区做好防汛、防台风等工作。　　习近平要求，各地区和有关部门要坚持人民至上、生命至上，统筹做好疫情防控和防汛救灾工作，坚决落实责任制，坚持预防预备和应急处突相结合，加强汛情监测，及时排查风险隐患，有力组织抢险救灾，妥善安置受灾群众，维护好生产生活秩序，切实把确保人民生命安全放在第一位落到实处。,
李克强主持召开稳外贸工作座谈会时强调 持续扩大对外开放努力稳住外贸外资基本盘,2020/6/29 7:40,来源：新华社,　　⊙新华社北京6月28日电　　6月28日，中共中央政治局常委、国务院总理李克强主持召开稳外贸工作座谈会。　　中共中央政治局常委、国务院副总理韩正出席。　　会上，商务部、海关总署汇报了当前外贸形势和下一步工作考虑。格兰仕、东方国际、东软集团、好事达、执御信息、嘉逸志友等企业负责人通过视频连线，结合各自所在的家电、服装、医疗设备、家具、跨境电商平台、摩托车等领域谈了企业生产经营和进出口情况。李克强详细了解企业订单、用工、资金、产业链供应链等，询问对下一步市场形势的看法和对国家政策的建议。他要求相关部门认真研究企业反映的问题和建议，采取措施支持企业渡过难关。　　李克强说，稳住外贸外资基本盘，对稳定经济运行和就业大局至关重要。今年以来，在以习近平同志为核心的党中央坚强领导下，各地各部门在做好疫情防控工作的同时，积极有序推动复工复产，出台了一系列有针对性的政策，近几个月外贸有所回稳。当前疫情仍在全球流行，世界经济严重衰退，我国经济已深度融入世界经济，下一步外贸环境依然严峻复杂，对此必须有充分估计和准备。要坚持以习近平新时代中国特色社会主义思想为指导，按照党中央、国务院决策部署，聚力“六稳”“六保”，坚定发展信心，积极应对困难挑战，着力推动更高水平对外开放，创新外贸方式，推动外贸促稳提质，为保就业稳经济提供支撑。　　李克强指出，要按照保就业保民生保市场主体的要求，抓紧抓实抓好政府工作报告提出的各项助企纾困政策，在积极扩大内需的同时，研究出台稳外贸稳外资的新措施，尤其要加大支持力度保住中小微企业和劳动密集型企业，并助力大型骨干外贸企业破解难题，更好支撑就业稳定。完善出口退税方式，加快退税进度。引导金融机构加强信贷、信保、担保等融资支持，纾解外贸企业流动性困难。继续挖掘通关便利化改革潜力，优化对外贸企业服务。统筹做好疫情防控和稳外贸稳外资工作，加强与相关国家沟通协调，畅通国际货运通道，开辟更多方便商务人员往来的“快捷通道”。鼓励外贸企业转型升级，提升出口产品质量和附加值，加快发展跨境电商、网上交易等外贸新业态新模式，鼓励引导多元投入建设海外仓，加大对带动中小企业出口的外贸服务平台的支持，培育新的外贸增长点。各地要结合本地实际，及时完善稳外贸稳外资相关措施。　　李克强强调，要坚定不移推出更多扩大开放的举措，推动多领域多层次国际合作，在不断深化制造业开放的同时，扩大服务业特别是高端服务业开放，进一步打造市场化、法治化、国际化营商环境，完善鼓励和吸引外商投资的政策，让中国成为更多外商投资兴业的热土。增强中西部和东北地区承接产业转移的吸引力。在保持产业链供应链稳定上下更大功夫。　　胡春华、刘鹤、王毅、肖捷、何立峰参加会议。,
5月工业企业利润增速年内首次转正 高技术行业利润持续向好,2020/6/29 7:42,来源：上海证券报,　　继工业增加值同比连续两个月正增长之后，5月份工业企业利润同比增速也实现今年以来首次转正，工业企业效益持续改善，进一步印证工业经济加速回暖。　　国家统计局昨日公布数据显示，5月份，全国规模以上工业企业实现利润总额5823.4亿元，由4月份同比下降4.3%转为增长6%。　　国家统计局工业司高级统计师朱虹在解读数据时表示：“5月份，随着复工复产深入推进，生产经营秩序逐步恢复，工业企业效益状况持续改善，当月利润增速实现由负转正。”　　粤开证券首席经济学家李奇霖分析认为，与4月份相比，企业生产成本上升压力缓解，企业原材料购进价格跌幅大于出厂价格跌幅，使得企业盈利空间增厚，这些因素都会明显推高整个工业企业5月的利润数据。　　从行业表现来看，5月份，在成本压力减缓、市场需求改善、相关扶持政策效果显现等多重有利因素作用下，石油加工、电力、化工、钢铁行业利润明显改善。　　数据显示，石油加工行业利润由4月份全行业亏损218亿元转为5月份盈利116.2亿元，同比增长8.9%。5月份，电力行业利润增长10.9%，4月份为下降15.7%；化工行业利润下降9.6%，降幅比4月份收窄19.7个百分点；钢铁行业利润下降50.5%，降幅收窄15.1个百分点。　　从1至5月份累计数据来看，41个行业大类中已经有10个行业实现了利润总额同比正增长，较4月增加了5个。这其中，高技术行业表现抢眼。1至5月份，计算机、通信和其他电子设备制造业利润规模达到1709亿元，是利润最多的子行业，累计利润同比增速由15%大幅提高至34.7%。此外，专用设备制造业增长16.6%，仪器仪表制造业增长8.9%。　　“全球疫情蔓延带动了线上办公的需求，能够解决无接触办公需求的科技行业确实是受益于疫情影响。”李奇霖说。　　尽管5月份工业企业利润实现今年以来首次增长，但累计看，1至5月份利润同比下降19.3%，降幅依然较大。朱虹认为，疫情影响下市场需求依然偏弱，利润回升的持续性还需进一步观察。　　朱虹分析称，一方面工业销售增速有所放缓，5月份，规模以上工业企业营业收入增速比4月份回落3.7个百分点；另一方面利润转好行业数量有所减少，在41个工业大类行业中有21个行业利润增速比4月份加快或降幅收窄，比4月份减少12个行业。　　多位分析人士表示，未来稳住经济基本盘是政策着力关键。从目前来看，工业经济回升向好仍有良好基础。　　此前出炉的5月份工业增加值同比上涨4.4%，增速在4月份3.9%的基础上继续提高。在中信证券首席经济学家诸建芳看来，这表明工业企业的生产经营秩序已经逐步恢复至正常水平。　　昨日统计局数据还显示，1至5月份，规模以上工业企业每百元营业收入中成本和费用分别为84.29元和9.05元，分别较前值减少了0.62元和0.18元，压力明显缓解，表明“六稳”“六保”相关政策效果显现。　　今年政府工作报告明确提出，预计全年为企业新增减负超过2.5万亿元，随后在6月17日召开的国务院常务会议进一步提出“金融系统让利实体经济1.5万亿元”。　　诸建芳表示，未来政府将通过减税降费、调低电价网费、减缓租金等方式进一步切实降低企业生产经营成本。预计随着后续各项援企助企政策的持续推进，工业经济将持续向好。,
央行货币政策委员会例会：坚持总量政策适度 发挥结构性政策精准滴灌作用,2020/6/29 7:42,来源：上海证券报,　　记者28日自央行获悉，中国人民银行货币政策委员会2020年第二季度（总第89次）例会于6月24日在北京召开。会议指出，稳健的货币政策要更加灵活适度，把支持实体经济恢复与可持续发展放到更加突出的位置。其中，坚持总量政策适度，有效发挥结构性货币政策工具的精准滴灌作用，提高政策的“直达性”。　　会议分析了国内外经济金融形势。会议认为，新冠肺炎疫情对我国经济的冲击总体可控，我国经济增长保持韧性，长期向好的基本面没有改变。稳健的货币政策体现了前瞻性、针对性和逆周期调节的要求，大力支持疫情防控、复工复产和实体经济发展，金融风险有效防控，金融服务实体经济的质量和效率逐步提升。贷款市场报价利率改革效果显现，货币传导效率增强，贷款利率明显下降，人民币汇率总体稳定，双向浮动弹性提升，应对外部冲击的能力增强。　　会议提醒，当前国内统筹疫情防控和复工复产取得重大阶段性成果，各类经济指标出现边际改善，但全球疫情和世界经济形势依然严峻复杂，国内防范疫情反弹任务仍然艰巨繁重，给我国经济发展带来风险和挑战。　　会议指出，要跟踪世界经济金融形势变化，加强对国际经济形势的研判分析，加强国际宏观经济政策协调，集中精力办好自己的事。　　具体而言，创新和完善宏观调控，稳健的货币政策要更加灵活适度，把支持实体经济恢复与可持续发展放到更加突出的位置。坚持总量政策适度，促进金融与实体经济良性循环，全力支持做好“六稳”“六保”工作。综合运用并创新多种货币政策工具，保持流动性合理充裕。有效发挥结构性货币政策工具的精准滴灌作用，提高政策的“直达性”，继续用好1万亿元普惠性再贷款再贴现额度，落实好新创设的直达实体工具，支持符合条件的地方法人银行对普惠小微企业贷款实施延期还本付息和发放信用贷款。　　会议还要求，深化金融供给侧结构性改革，引导大银行服务重心下沉，推动中小银行聚焦主责主业，健全具有高度适应性、竞争力、普惠性的现代金融体系。着力打通货币传导的多种堵点，继续释放改革促进降低贷款利率的潜力，引导金融机构加大对实体经济特别是小微企业、民营企业的支持力度，提高小微企业贷款、信用贷款、制造业贷款比重，努力做到金融对民营企业的支持与民营企业对经济社会发展的贡献相适应，推动供给体系、需求体系和金融体系形成相互支持的三角框架，促进形成以国内循环为主、国际国内互促的双循环发展新格局。进一步扩大金融高水平双向开放，提高开放条件下经济金融管理能力和防控风险能力。　　会议强调，加大宏观政策调节力度，着力稳企业保就业，扎实做好“六稳”工作，全面落实“六保”任务。健全财政、货币、就业等政策协同和传导落实机制，有效对冲疫情对经济增长的影响。深化利率市场化改革，有序推进存量浮动利率贷款定价基准转换，保持人民币汇率在合理均衡水平上的基本稳定。打好防范化解金融风险攻坚战，把握保增长与防风险的有效平衡，注重在改革发展中化解风险，守住不发生系统性金融风险的底线。,
正确认识应对非常事件的货币政策,2020/6/29 12:59,来源：第一财经,　　2020年以来新冠疫情这一全球性突发公共卫生事件对经济金融运行产生了较大冲击，国内经济下行压力加大，市场弥漫悲观情绪，为应对异常严峻复杂的局面，央行充分发挥了货币政策“实施快、见效快”的特点，施策精准，及时投放流动性并引导利率下行，安排股票市场如期开市，设立债券市场 “绿色通道”，整体效果来看，金融血脉畅通，市场预期稳定，可以说，为“六稳六保”创造了积极的金融环境。　　4月份以来，伴随国内疫情防控形势持续向好，经济数据呈现好转态势。同时，个别金融领域出现杠杆率回升和资金空转现象，金融风险苗头隐现。人民银行根据经济金融形势的变化，也灵活调整了政策操作，积极防范金融风险并提前考虑政策工具适时退出，其目的是为经济金融长期持续稳定健康运行夯实基础。　　平心而论，今年以来人民银行在特殊时期采取的特殊政策达到了政策预期效果，对于这一点，市场有目共睹。站在市场观察者的角度看，市场机构还是需要正确认识特殊政策的阶段性特征，秉承理性投资、价值投资、长期投资的理念，不能靠短期投机一条路走到黑。人民银行也应该在防范金融风险的基础上，加强与市场的沟通，稳定市场预期。　　第一，应对突发公共卫生事件，货币政策出手早见效快，稳定了市场信心，降低了社会融资成本，在保主体、稳就业方面发挥重要作用。在新冠肺炎疫情冲击下，供应链中断、经营性现金流萎缩，各类市场主体压力巨大、恐慌情绪有所蔓延。受此影响，1-2月工业增加值累计增速-13.5%，2月PMI大幅回落至35.7%，均为有数据以来最低值。一季度GDP同比增速-6.8%，创改革开放以来最大跌幅，投资、消费、出口都是两位数负增长。面对这样的严峻形势，若不采取措施及时恢复金融市场运行、降低企业融资成本、缓和经营主体现金流压力，后果不堪设想。对此，人民银行多措并举，应对积极。其中，三次降低存款准备金率，总量上向金融机构释放长期资金约1.75万亿元。引导公开市场操作利率、中期借贷便利利率和贷款市场报价利率下行，降低企业融资成本。采取结构性措施，增加专项优惠再贷款和普惠性再贷款再贴现额度合计1.8万亿元，确保金融机构支持企业融资。针对小微企业出台普惠小微企业贷款延期支持工具和普惠小微企业信用贷款支持计划两项直达实体经济的普惠工具。以上措施取得立竿见影的良好效果，前5个月新增贷款10万亿元，比去年同期多增2万多亿元。M2与社会融资规模增速分别为11.1%与12.5%，都明显高于去年。即便如此，刺激政策仍在传统货币政策框架范围内，没有搞外国央行的大水漫灌，为未来操作预留了空间。　　第二，经济数据回暖、金融风险苗头隐现，对预防刺激政策“后遗症”和防范金融风险提出新要求。随着复产复工有序进行，4月份以来各项经济数据呈现回暖迹象，工业增加值同比降幅持续收窄。5月份，各类经济指标已经出现边际改善，规模以上工业增加值同比增长4.4%，其中制造业增长5.2%，全社会固定资产投资环比增长5.87%，统计局PMI连续3个月保持在荣枯线上方。一些消费零售指标也出现积极变化，汽车消费同比增长3.5%，较前期明显好转；房地产投资增速回升1.13个百分点至8.09%，已恢复至疫情发生前。随着形势逐步向好的方向转变，刺激政策的力度是否需要提前做好调整，避免相关后遗症影响今后经济稳定运行成为重要考虑。　　观察金融领域，随着流动性保持合理宽裕，货币市场利率逐步进入历史低位，隔夜和七天回购在4月底均出现近十年最低值，而3月银行间市场杠杆水平回升至110%的近年来高位。除了金融机构通过杠杆操作盈利，也出现部分企业套利现象。今年以来结构化存款规模大幅上涨超2万亿元，M2增速与M1增速的剪刀差从2月的4%持续上升至4月的5.6%。资金空转和金融风险苗头已经出现，对人民银行及时果断采取措施提出了新的要求。　　第三，“适时退出”并不意味着“急踩刹车”收紧货币，目的是为了“退空转”，更好服务实体经济。从近期的调整看，DR007回归至接近2.2%的政策利率水平，利率债中短端品种在接近年初的水平停止上行趋势，作为市场“压舱石”的长期品种在全过程未发生大波动。一级市场发行回暖，券商短融本月发行规模同比上升1.7倍，同业存单发行连续两周环比回升。银行间市场信用债收益率在经历前期波动后稳定在较年初低约20个基点的水平。伴随信用债供给回升，近一周发行成功率反弹至95%，中长端发行占比回升至四成，前期一度发行困难的永续债重新启动，占比回升6个百分点至10%。金融市场流动性合理充裕的局面并未发生逆转，结构上还有优化的趋势。由此可以看出，近期的金融市场调整，针对的是刺激政策实施后难以完全避免的套利甚至资金空转行为，政策目的是为了及时遏制泡沫膨胀，引导资金流向实体企业，避免刺激政策的后遗症为未来的发展留下隐患。　　第四，市场各方应当做好预期管理和信息沟通，正确看待特殊时期的货币政策，专业应对市场波动。宏观政策的制定和实施，必然是在全面汇总相关信息基础上统筹考量的结果。针对突发事件推出的特殊政策有其阶段性，不可能长期持续存在，必然存在适时退出的一刻。投资者应当结合宏观经济形势进行专业判断，既要避免投机心理，又要对“退空转”政策的影响提前应对。市场利率自4月底开始回升后，前期盈利颇丰的机构纷纷获利了结，对于部分不舍得“下车”的，以及以抄底为目的“后上车”者，更应该秉持盈亏自负的良好心态。（作者系资深学者）,
山西省全行业全产业链开票逐月增长 5月比2月开票份数增长294.89%,2020/6/29 11:33,来源：山西日报,　　原标题：我省全行业全产业链开票逐月增长　　5月比2月开票份数增长294.89%，开票金额增长95.7%　　6月28日，记者从国家税务总局山西省税务局获悉，全省税收大数据统计数据显示，2020年5月份全省123.28万户纳税人开具发票份数387.4万份，开具金额4869.3亿元，比2月份开票份数增长294.89%，开票金额增长95.7%。同时，2月份至5月份全省全行业全产业链逐月开票数和开票金额均增长1%以上。　　作为推动山西省经济发展重要力量的服务业，是小微企业经营的主要领域，也是社会就业的主要阵地，积极促进服务业复工复产，就是做好“六稳”、落实“六保”的重要举措。5月份统计数据显示，全省服务业开票金额达到上年同期的108.17%，高出复工以来累计开票金额同比17.12个百分点。其中，2月10日至3月31日（第一阶段）为77.53%，4月1日至5月31日（第二阶段）为103.61%，高出第一阶段26.08个百分点。　　山西省税务局有关专家表示，发票开具数量增减是全省经济发展的风向标。在减税降费政策落实的有力支持下，全省经济特别是服务业受疫情影响逐月减弱，全省全产业复工复产、复商复市逐月向好，这对提振市场信心、恢复全省经济正常秩序起到了至关重要的作用。,
山西省供销社系统改革步伐加快,2020/6/29 11:29,来源：山西日报,　　原标题：我省供销社系统改革步伐加快　　山西省供销社近日召开直属企业改革座谈会，明确全省供销社系统将进一步深化改革，拓展农产品流通渠道，加快发展电子商务、现代物流、金融服务等新兴服务业，走出一条高质量转型发展之路。　　山西省供销社将整合资源、转换职能，升级业态，以产权为纽带，对企业进行组织重构、机制重塑、专业重组，按照企业化经营、资本化运作、现代化管理，打造一流商贸集团。市级供销社要触网升储、拓新固本，打造现代流通企业集群。围绕“米袋子”“菜篮子”“肉案子”“果盘子”“奶瓶子”，加强农批市场和农产品配送中心建设，拓展农产品流通渠道；加快发展电子商务、现代物流、金融服务等新兴服务业，推动企业转型升级；整合资源，培育组建一批日用消费品龙头企业；改造提升仓储物流设施，加强区域性冷链物流配送中心建设；参与城乡生活垃圾分类。县及县以下供销社要股份制改造基层社、多层面提升农民合作社、多渠道发展合作社联合社等，使农民在一二三产业融合发展中增加收益，构建起“四梁八柱十条筋”新型合作经济组织体系。,
海南自贸港最大单笔FTN账户资金入账,2020/6/29 11:04,来源：海南日报,　　近日，中国银行三亚分行成功为某知名境外资产管理公司管理的境外基金开立非居民FTN账户，并完成首期2000万美元资金的入账，这是迄今为止全省FTN项下流入的单笔最大资金。　　FTN账户是FT（自由贸易）账户的一种，是境外注册成立的法人或其他组织在自贸港分账核算单元开立的账户，具有本外币账户合一、结算更便捷、汇率市场化、融资模式多元化、境外融资更便捷等特点。使用该账户可使境外机构主体的资金使用效率和快捷程度大幅提高，便利实体经济投资贸易活动，同时也为资本项目可兑换等后续改革提供较好的载体。　　中国银行得知该境外资产管理公司在自贸港有业务需求后，积极设计服务方案，快速响应客户需求，从账户资料搜集、开户资料审核以及人行审批等关键环节实现无缝对接，在关键时间节点上完成开户和资金的顺利入账，充分体现了该行在自贸港相关业务中一流的金融综合服务能力和水平。　　“中国银行展现出的敏捷反应力，以及对各种资源、政策的整合协调能力，让我们非常赞赏。”该公司相关负责人告诉海南日报记者，对于该公司而言,选择在海南开展境外资金结算业务，不仅率先体会到海南自贸港的金融服务品质和服务效率，还取得了较其他地区更优惠的利率、汇率条件。　　据了解，该境外资产管理公司自2019年以来一直与亚太金融基金小镇等三亚本地单位或机构保持密切沟通，并积极关注海南自由贸易港在金融领域推出的相关政策，《海南自由贸易港建设总体方案》发布后，该公司更加坚定了在海南开展业务的信心。　　该笔业务的成功办理，是中国银行以实际行动积极响应《海南自由贸易港建设总体方案》，依托FT账户体系和不断创新的FT金融产品，推动资金要素跨境安全便捷有序流动的举措。而随着各类自贸港政策和金融创新所产生的集聚效应，将吸引越来越多的高质量国际性公司将全球金融资源聚集在海南自贸港，从而激发市场主体活力，加快建设成为高水平的中国特色自由贸易港。　　“我们充分发挥海南自贸港建设背景下的金融创新优势，为进出口企业、外商投资企业等高质量金融客户提供优质服务，积极推出FT金融产品，创新发展FT外资股权投资便利化、FT全功能跨境双向人民币资金池两项业务，助推资金便利自由流动。”中国银行三亚分行有关负责人表示。
海口：11条措施加强招商引资,2020/6/29 11:03,来源：海南日报,　　建立在谈项目跨区流转制度，对项目引荐人进行奖励　　日前，海口市委、市政府正式印发《关于在加快建设海南自贸港进程中加强招商引资工作的意见》（以下简称《意见》），提出建立在谈项目跨区流转制度、实行用地手续“联动式”办理、对项目引荐人进行奖励等11条措施，创新招商引资方式，为自贸港建设实现良好开局扛起海口担当。　　根据《意见》，海口将积极探索招商新模式，进一步摸清全市产业现状、资源禀赋，精准匹配招商和项目需求，实施大数据化招商；加强与专业投资机构合作，强化产业与资本的互动，精准筛选项目，实施资本化招商；加强与国内外知名招商机构、中介机构的合作，鼓励建立市场化机制的招商平台，开展委托招商、代理招商，选聘招商大使，实施市场化招商。　　强化基础工作。建立全市招商项目信息库，实行招商信息登记备案制度，强化信息首报的认定管理。建立在谈项目的跨区流转制度，完善利益分享机制，鼓励自身承载能力不足或与产业定位不符的项目合理流转。组建多行业招商智库，选聘技术顾问和投资顾问，实施项目质量常态化评估。建立投资项目审核机制，结合全市产业规划，从招商项目的产品竞争力、经济贡献度、资源占有率等方面，建立健全招商项目评价体系，实施招商项目论证。　　落实党政同责。海口各区、各园区及市级部门党政“一把手”要牢牢树立招商工作责任意识，加强对招商引资工作的组织领导，亲自研究重点招商工作，接待重要客商，拜访重点企业，组织重要招商活动，推动重大招商项目。将各区、各园区及市级部门党政“一把手”招商工作情况纳入其年度工作评价考核内容，作为干部使用参考依据之一。　　突出招商实效。围绕全面推进海南自贸港建设，精准举办招商活动。项目集中签约活动突出亿元以上项目、主导产业龙头项目、高端研发机构项目。建立活动评价机制，将招商信息项目转化率、意向项目签约转化率、签约项目落地率等作为评价考核的重要指标。　　建立专业队伍。鼓励各区、各园区及相关部门要建立由多渠道产生、专业人才构成的专职化招商队伍。对聘用的招商人员采取企业化管理模式，实行年薪制绩效考核。　　创新用地服务。围绕全市产业功能布局，将国土资源规划与招商工作需要紧密结合，统筹配置用地资源。做好用地前期服务，开设重大招商项目的选址、用地保障等绿色通道，为项目尽早签约落地提供保障。实行用地手续“联动式”办理，结合项目实际用地需求，一次性明确项目落地的条件。　　强化激励机制。建立项目引荐人奖励制度，依据项目引荐质量和招商实绩对相关人员按有关规定给予奖励。对完成招商引资年度目标任务低于80%的单位，取消年度评优资格。　　优化营商环境。坚持依法履约、诚信履约，依法履行在招商引资活动中与投资主体依法签订的各类合同，严格依法兑现向企业及个人作出的政策承诺，优化审核程序，提高拨付时效，树立诚信招商的形象，增强投资者的信心。,
海南省委书记刘赐贵：扎实稳妥推进总体方案落实 确保海南自贸港建设取得早期收获,2020/6/29 11:01,来源：海南日报,　　原标题：刘赐贵主持召开省委深改委暨自贸工委会议要求　　扎实稳妥推进总体方案落实　　确保海南自贸港建设取得早期收获　　沈晓明毛万春出席　　6月28日，省委书记、省委全面深化改革委员会主任刘赐贵主持召开省委深改委暨自贸工委会议，传达推进海南全面深化改革开放领导小组第三次全体会议纪要，研究海南省贯彻落实意见，部署下一阶段重点工作，审议相关文件。刘赐贵强调，要始终坚持和加强党的领导，突出制度集成创新，不断健全风险防控体制机制，扎实稳妥推进《海南自由贸易港建设总体方案》的落实，高质量高标准完成目标任务，确保海南自贸港建设取得早期收获。　　省委副书记、省长沈晓明，省政协主席毛万春，以及省委深改委委员、省直有关部门负责人参加会议。　　会议强调，在海南建设自由贸易港，是我国新时代改革开放进程中的一件大事，必须坚持和加强党的领导，切实履行好海南各级党组织的主体责任，一级一级对照目标任务，层层抓好贯彻落实。要坚持走中国特色社会主义道路，严格按照中央的部署安排推进，确保自贸港建设始终朝着正确方向前进；要突出制度集成创新，重点围绕贸易投资自由化便利化，推出一批体现海南特色、与国际接轨的创新体制机制；要把握好“一线”放开、“二线”管住的关系；要把握好海南重点产业和特色优势，加快补齐基础设施等方面短板；要把握好“制度创新+优惠政策+法治规则”的重要安排，加强对税收政策、人才政策等重点领域的研究，争取率先取得突破；要把握好不发生重大风险的底线要求，在有效防范化解风险的基础上，加快落实早期安排、确保取得早期收获。　　会议审议并原则通过了《海南自由贸易港建设2020年重点工作安排》的任务清单和责任分工，要求各分管省领导和相关责任单位要压实责任，只争朝夕、抢抓时间，主动与中央和国家有关部委沟通协调推动，争取相关任务取得实质性进展；省委深改办（自贸办）要成立专班，统筹做好综合协调工作，加强沟通汇报，全力推动2020年重点工作安排各项任务落实到位。　　会议审议并原则通过了海南自贸港建设重大风险防控工作清单任务分工，要求各级领导干部切实提高政治站位，把风险想在前、防在前，进一步细化早期政策实施阶段存在的风险，牢牢把握“六个绝对不允许”的要求，哪怕只有1%的风险隐患也必须拿出100%的应对措施，确保海南自贸港建设开好局、起好步。　　会议听取了离岛免税购物政策风险防控措施的汇报，强调要进一步完善风险防控各项措施，有效防范化解可能存在的风险，确保把中央赋予的政策用好用足，切实让全国人民在海南自贸港建设中增强获得感、幸福感。要深入挖掘消费潜力，进一步丰富免税商品种类，拓展线上和线下购买渠道，逐步实现品牌、品种、价格与原产地“三同步”；要着眼长远、加快布局，完善离岛免税基础设施，为旅客提供最大便利和最优体验；要强化规范管理，建立失信名单制度，加大惩戒措施宣传力度，严厉打击营利性代购、免税品走私等违法行为。　　会议审议并原则通过了进出海南岛航班加注保税航油降价方案。　　会议还研究了其他事项。,
新疆出台19条措施推进多层次资本市场建设,2020/6/29 10:52,来源：新疆日报,　　全媒体记者王永飞从自治区地方金融监督管理局获悉：近日，自治区人民政府办公厅印发《关于当前加快建设我区多层次资本市场的实施意见》，聚焦企业上市过程中的痛点和堵点，出台了19条具有针对性和操作性的具体措施，鼓励新疆企业依托资本市场做优做强、提质增效。　　在培育更高质量的上市后备资源方面，《实施意见》要求，各地（州、市）、各相关部门要高度重视区域性股权市场建设，建立全链条的多层次资本市场服务体系，分领域、分行业、分板块对拟上市企业实施精准培育，建立健全投融资对接洽谈平台，有序发展股权融资，持续扩大可转债融资，全面推动非上市股份有限公司的股份登记托管工作。　　在提供更加高效的上市协调服务方面，《实施意见》要求，各地（州、市）、各相关部门要在拨付奖补资金、满足用地需求、实施检测优惠、降低企业成本、保护知识产权、畅通国资流转等领域给予拟上市企业重点支持。　　对于已上市公司、新三板挂牌公司，《实施意见》鼓励资源整合，规范公司治理，提高公司质量，同时，强化风险防控，切实维护新疆多层次资本市场持续稳定健康发展。　　《实施意见》要求，各地（州、市）要加强组织领导，进一步建立健全企业培育和上市推进领导机构。对已取得新疆证监局辅导备案登记确认书的拟上市企业，各地（州、市）应指派一名领导干部对其“一对一”联系帮扶，打通政策落地的“最后一公里”。,
洛阳制造业高质量发展基金设立 首期规模100亿元,2020/6/29 10:36,来源：河南日报,　　原标题：助推河南制造业走向高质量　　洛阳制造业高质量发展基金设立　　首期规模100亿元！　　6月28日上午，洛阳制造业高质量发展基金正式设立并在洛阳揭牌，首期规模100亿元，为建设洛阳副中心城市打造新增长极送来了“及时雨”。　　该基金由省市两级财政出资引导、中原豫资控股集团有限公司和洛阳国宏投资集团有限公司作为基石出资人发起设立，基金注册地为洛阳市高新区天元中部自贸港，由洛阳创业投资有限公司负责运作管理。　　近年来，随着推动中部地区崛起战略的深入实施、黄河流域生态保护和高质量发展上升为国家重大战略，作为我国工业重镇之一的洛阳迎来了特殊的历史机遇。今年3月底，河南省委省政府提出支持洛阳以开放为引领加快建设中原城市群副中心城市，洛阳再次迎来高光时刻。　　“在此背景下，设立该基金意在支持洛阳市制造业高质量发展、加快中原城市群洛阳副中心城市建设。”河南省财政厅副厅长李新建说，这也是扎实推进省委、省政府关于洛阳副中心城市建设工作部署，最终实现中部地区崛起战略的一项重要举措。　　据了解，该基金主要通过“政府引领、市场运作”的方式，吸引社会资本加大对洛阳市制造业的投入，重点服务于洛阳市制造业转型升级、制造业重大招商引资，以及洛阳市以大型科研院所、高等院校、高新企业为基础的科技创新转化等领域。投资范围将以洛阳为主，兼顾洛平(洛阳―平顶山)、洛三(洛阳―三门峡)、洛济(洛阳―济源)等一体化都市圈优质项目。　　“目前洛阳制造业发展正处于爬坡过坎的关键时期，转型升级的任务仍十分艰巨，急需提高融资能力，提升发展动力。洛阳制造业高质量发展基金的设立可以说是一场非常重要的‘及时雨’。”洛阳市市长刘宛康说。　　据了解，该基金计划未来5年内实现基金投入500亿元，带动中长期信贷投入不低于2000亿元，逐步探索形成可复制推广的先进制造业投入新机制。　　当天现场还举行了签约仪式。洛阳制造业高质量发展基金分别与15家意向合作金融机构签署了合作意向书，并与6家投资机构等签署了项目合作意向书。,
在岸人民币对美元汇率开盘小幅下挫,2020/6/29 9:49,来源：上海证券报・中国证券网,　　上证报中国证券网讯（记者 范子萌）6月29日，在岸人民币对美元汇率开盘下挫逾50点，报7.0799，与此同时，离岸人民币对美元短线拉升近20点。截至9点35分，在岸、离岸人民币对美元分别报7.0785、7.0773。　　同日，人民币对美元中间价较上一交易日调降253个基点，报7.0808。　　兴业研究分析认为，人民币汇率已经进入宽幅震荡形态，并在酝酿趋势升值行情。其主要逻辑在于，美元指数将有序下行，中美库存周期分化利多人民币汇率；而在国际收支方面，2020年衰退型顺差有望扩大，高利差将继续吸引外资增持人民币债券。,
